measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Finland,Male,55 to 59,Prostate cancer,Number,2019,17.35722829,24.51369006,11.82401446
Deaths,Finland,Male,55 to 59,Prostate cancer,Rate,2019,9.442950189,13.3363202,6.432684855
Deaths,Finland,Male,60 to 64,Prostate cancer,Number,2019,47.53049042,70.33500939,33.86001863
Deaths,Finland,Male,60 to 64,Prostate cancer,Rate,2019,26.98098564,39.9261161,19.22085525
Deaths,Finland,Male,65 to 69,Prostate cancer,Number,2019,103.7369896,148.4127049,76.86028828
Deaths,Finland,Male,65 to 69,Prostate cancer,Rate,2019,60.70377972,86.84667041,44.97633896
Deaths,Finland,Male,70 to 74,Prostate cancer,Number,2019,186.0321782,283.8466795,135.4380598
Deaths,Finland,Male,70 to 74,Prostate cancer,Rate,2019,113.6940505,173.4736378,82.77332322
Deaths,Finland,Male,75 to 79,Prostate cancer,Number,2019,221.9502433,346.6706835,169.7941708
Deaths,Finland,Male,75 to 79,Prostate cancer,Rate,2019,236.2474441,369.0019065,180.7316734
Deaths,Finland,Male,All Ages,Prostate cancer,Number,2019,1293.768934,1834.935544,1058.8449
Deaths,Finland,Male,All Ages,Prostate cancer,Rate,2019,47.38889391,67.21104791,38.78396468
Deaths,Finland,Male,80 to 84,Prostate cancer,Number,2019,288.3017519,411.4732501,220.2803195
Deaths,Finland,Male,80 to 84,Prostate cancer,Rate,2019,443.6351552,633.1699269,338.9646199
Deaths,Finland,Male,85 to 89,Prostate cancer,Number,2019,240.7572239,346.3680621,179.1563509
Deaths,Finland,Male,85 to 89,Prostate cancer,Rate,2019,705.4490441,1014.902126,524.9507135
Deaths,Finland,Male,90 to 94,Prostate cancer,Number,2019,135.4606812,190.8232802,94.57144469
Deaths,Finland,Male,90 to 94,Prostate cancer,Rate,2019,975.6094644,1374.339746,681.1186514
Deaths,Finland,Male,95 plus,Prostate cancer,Number,2019,45.02399832,68.79700023,27.32511212
Deaths,Finland,Male,95 plus,Prostate cancer,Rate,2019,1208.27764,1846.257112,733.3049756
